weekly_hours,avg_safar_score,claims_history
72.43023981137905,9.112727526883226,1
81.5271183667762,42.614561630365124,3
43.457656862491326,29.731481055832226,0
29.606074972243555,29.110588748499165,1
47.55639333015554,28.071028478143077,0
39.338222992258345,56.17726784153794,2
54.66729931826184,53.969357780106954,0
38.85445090781446,48.75156540519656,0
39.03996893871884,56.867239199105406,2
24.190058577841835,32.917206054687384,0
30.678058043237883,17.3449796631647,0
35.22631357681831,55.24964259976359,0
48.78066825595949,44.15622295275847,0
28.48760675706078,57.49271563963437,1
77.26389716594493,51.391323128789274,0
38.440587788227106,43.897067732056605,0
19.646212350952677,48.083793323529285,0
33.42944393534313,66.13633455842131,0
52.03160513402769,40.648209272521555,1
33.82119960106904,56.051428348094504,0
24.06406040471033,49.6362899096112,0
31.426405298493986,19.880006726797497,0
28.244708270025424,25.28923907878599,1
48.23531666176566,44.40579814960522,0
27.812417890502548,37.534563000223756,1
14.759006596071535,30.748752400379214,0
26.896309204603842,61.06109763337363,0
59.464511750488455,22.568906249444545,2
47.19158014664871,42.020390530471445,1
16.515494404606763,31.88995101691414,0
57.17277968860833,67.2417162777213,1
64.31267893876569,82.76275436602907,1
49.52522087898194,40.331644432536876,0
24.985540341959982,57.729294924390004,0
59.821585141086146,64.04625441321026,0
35.05184136057843,58.480878646779566,0
27.905597384817522,56.8656911375114,0
35.09689866972294,18.4074782205212,1
45.43591801632562,62.644579826526105,0
49.47792752552429,50.38912382077511,0
41.2848392804713,41.5643394403663,0
37.33227489791981,43.828474855602224,1
24.087564193104804,48.867777347037624,2
47.23950557865923,41.189925162526386,2
41.77134038095989,39.6763104363953,0
48.92798551662777,30.334701669078996,0
36.28209654533003,52.65253105744775,0
51.29276844446036,42.576403242016504,0
48.73450074176414,33.10641713039088,2
31.88815437223892,46.46659013130555,2
37.76571900675917,45.64242180569636,1
53.37106835367361,52.587295939327376,0
55.04036460779267,44.55178041797766,2
63.457304528601526,54.25234626858834,0
27.750269752499328,40.9035987369094,1
32.674646591040805,41.98288781287986,0
74.19391119053716,49.163412682438434,0
89.5662370780861,50.807199851536254,0
43.6121733815809,63.17425468370507,0
37.49585685781492,60.71582270049609,1
